lotto-num
Scraped january 1997: ['1', '11', '22', '26', '33', '39']
Scraped november 1997: ['9', '14', '18', '20', '25', '36']
Scraped november 1997: ['8', '25', '28', '31', '33', '39']
Scraped november 1997: ['1', '12', '15', '25', '32', '34']
Scraped december 1997: ['7', '10', '12', '27', '31', '32']
Scraped december 1997: ['4', '7', '19', '24', '26', '40']
Scraped december 1997: ['3', '15', '17', '20', '26', '31']
Scraped december 1997: ['14', '22', '24', '29', '32', '37']
Scraped december 1997: ['2', '6', '11', '13', '17', '30']
Scraped january 1998: ['1', '6', '22', '24', '26', '31']
Scraped january 1998: ['3', '8', '14', '15', '18', '24']
Scraped january 1998: ['10', '12', '16', '18', '22', '40']
Scraped january 1998: ['7', '9', '21', '26', '33', '37']
Scraped january 1998: ['8', '24', '25', '31', '32', '37']
Scraped february 1998: ['4', '8', '9', '11', '30', '34']
Scraped february 1998: ['1', '9', '11', '26', '35', '39']
Scraped february 1998: ['3', '6', '10', '17', '25', '36']
Scraped february 1998: ['2', '3', '6', '9', '17', '20']
Scraped march 1998: ['8', '13', '17', '33', '34', '37']
Scraped march 1998: ['11', '13', '14', '18', '32', '39']
Scraped march 1998: ['8', '14', '25', '29', '33', '34']
Scraped march 1998: ['3', '4', '9', '17', '23', '38']
Scraped april 1998: ['11', '22', '27', '31', '34', '36']
Scraped april 1998: ['1', '2', '3', '11', '25', '33']
Scraped april 1998: ['2', '3', '9', '15', '24', '27']
Scraped april 1998: ['4', '7', '8', '18', '35', '39']
Scraped may 1998: ['4', '7', '19', '20', '28', '34']
Scraped may 1998: ['1', '2', '14', '18', '19', '26']
Scraped may 1998: ['1', '11', '13', '17', '31', '38']
Scraped may 1998: ['1', '8', '10', '18', '19', '26']
Scraped may 1998: ['6', '11', '16', '18', '24', '29']
Scraped june 1998: ['5', '6', '28', '29', '33', '35']
Scraped june 1998: ['4', '12', '15', '29', '34', '35']
Scraped june 1998: ['6', '11', '16', '21', '32', '37']
Scraped june 1998: ['5', '10', '11', '12', '22', '29']
Scraped july 1998: ['14', '16', '19', '25', '31', '40']
Scraped july 1998: ['1', '4', '13', '18', '31', '34']
Scraped july 1998: ['1', '2', '10', '14', '27', '29']
Scraped july 1998: ['11', '12', '15', '18', '19', '39']
Scraped august 1998: ['5', '8', '12', '19', '36', '38']
Scraped august 1998: ['12', '21', '33', '34', '36', '39']
Scraped august 1998: ['4', '10', '12', '13', '30', '32']
Scraped august 1998: ['6', '7', '8', '12', '20', '37']
Scraped august 1998: ['2', '7', '8', '9', '10', '12']
Scraped september 1998: ['10', '14', '21', '29', '34', '39']
Scraped september 1998: ['7', '8', '23', '24', '30', '34']
Scraped september 1998: ['5', '9', '13', '15', '19', '40']
Scraped september 1998: ['1', '13', '16', '35', '36', '39']
Scraped october 1998: ['2', '7', '20', '27', '32', '34']
Scraped october 1998: ['6', '8', '9', '16', '22', '28']
Scraped october 1998: ['2', '12', '14', '24', '36', '40']
Scraped october 1998: ['1', '2', '3', '5', '18', '40']
Scraped october 1998: ['8', '10', '12', '16', '19', '40']
Scraped november 1998: ['13', '32', '33', '34', '36', '38']
Scraped november 1998: ['2', '16', '18', '25', '28', '34']
Scraped november 1998: ['1', '5', '7', '11', '31', '33']
Scraped november 1998: ['6', '8', '10', '27', '31', '37']
Scraped december 1998: ['5', '7', '15', '24', '26', '30']
Scraped december 1998: ['7', '9', '18', '20', '23', '33']
Scraped december 1998: ['3', '4', '13', '18', '21', '37']
Scraped december 1998: ['5', '12', '18', '26', '33', '39']
Scraped december 1998: ['7', '9', '17', '21', '26', '40']
Scraped january 1999: ['3', '10', '20', '21', '24', '36']
Scraped january 1999: ['6', '8', '25', '29', '35', '36']
Scraped january 1999: ['1', '9', '12', '26', '28', '31']
Scraped january 1999: ['5', '10', '24', '25', '34', '35']
Scraped january 1999: ['12', '22', '26', '33', '35', '38']
Scraped february 1999: ['6', '15', '23', '24', '27', '33']
Scraped february 1999: ['4', '7', '16', '22', '25', '38']
Scraped february 1999: ['5', '8', '13', '28', '31', '33']
Scraped february 1999: ['3', '21', '23', '24', '26', '38']
Scraped march 1999: ['2', '16', '23', '26', '37', '38']
Scraped march 1999: ['14', '19', '26', '33', '38', '39']
Scraped march 1999: ['1', '2', '12', '26', '27', '32']
Scraped march 1999: ['6', '18', '21', '22', '26', '27']
Scraped april 1999: ['2', '5', '7', '9', '13', '28']
Scraped april 1999: ['5', '10', '18', '20', '28', '35']
Scraped april 1999: ['13', '23', '28', '32', '33', '35']
Scraped april 1999: ['4', '5', '18', '20', '36', '38']
Scraped may 1999: ['3', '5', '19', '25', '31', '33']
Scraped may 1999: ['3', '13', '19', '23', '25', '26']
Scraped may 1999: ['6', '16', '19', '23', '28', '40']
Scraped may 1999: ['16', '20', '23', '29', '33', '37']
Scraped may 1999: ['13', '19', '21', '27', '32', '38']
Scraped june 1999: ['15', '26', '34', '36', '39', '40']
Scraped june 1999: ['3', '7', '10', '28', '31', '33']
Scraped june 1999: ['7', '8', '21', '26', '27', '32']
Scraped june 1999: ['1', '7', '17', '25', '39', '40']
Scraped july 1999: ['1', '2', '9', '13', '22', '27']
Scraped july 1999: ['11', '13', '14', '16', '19', '27']
Scraped july 1999: ['2', '8', '10', '22', '25', '37']
Scraped july 1999: ['3', '29', '30', '33', '38', '39']
Scraped july 1999: ['1', '2', '9', '12', '25', '37']
Scraped august 1999: ['10', '15', '24', '26', '27', '39']
Scraped august 1999: ['1', '3', '15', '30', '37', '38']
Scraped august 1999: ['11', '17', '25', '28', '36', '37']
Scraped august 1999: ['4', '18', '21', '26', '39', '40']
Scraped september 1999: ['3', '10', '13', '20', '22', '40']
Scraped september 1999: ['4', '8', '11', '15', '22', '39']
Scraped september 1999: ['1', '7', '14', '23', '25', '37']
Scraped september 1999: ['4', '13', '14', '21', '34', '36']
Scraped october 1999: ['4', '7', '11', '12', '17', '35']
Scraped october 1999: ['10', '15', '23', '25', '34', '39']
Scraped october 1999: ['8', '17', '23', '30', '32', '38']
Scraped october 1999: ['3', '16', '33', '35', '36', '39']
Scraped october 1999: ['16', '18', '20', '21', '24', '32']
Scraped november 1999: ['3', '8', '13', '18', '23', '34']
Scraped november 1999: ['2', '3', '4', '6', '28', '34']
Scraped november 1999: ['2', '21', '22', '23', '27', '31']
Scraped november 1999: ['9', '19', '20', '36', '37', '38']
Scraped december 1999: ['20', '21', '23', '27', '30', '38']
Scraped december 1999: ['11', '21', '29', '34', '38', '39']
Scraped december 1999: ['13', '19', '21', '22', '24', '29']
Scraped december 1999: ['12', '13', '14', '15', '27', '32']
Scraped december 1999: ['9', '11', '13', '29', '31', '37']
Scraped january 2000: ['9', '13', '22', '23', '28', '31']
Scraped january 2000: ['4', '9', '10', '22', '27', '33']
Scraped january 2000: ['10', '11', '12', '26', '39', '40']
Scraped january 2000: ['2', '7', '15', '23', '28', '33']
Scraped january 2000: ['8', '10', '11', '17', '18', '34']
Scraped february 2000: ['1', '12', '27', '31', '33', '35']
Scraped february 2000: ['1', '2', '8', '19', '22', '29']
Scraped february 2000: ['4', '13', '20', '21', '27', '39']
Scraped february 2000: ['6', '9', '21', '26', '32', '36']
Scraped march 2000: ['1', '5', '9', '14', '24', '33']
Scraped march 2000: ['4', '8', '18', '20', '21', '29']
Scraped march 2000: ['7', '22', '28', '33', '35', '40']
Scraped march 2000: ['2', '13', '15', '26', '30', '39']
Scraped april 2000: ['13', '18', '19', '25', '31', '39']
Scraped april 2000: ['2', '12', '13', '24', '33', '38']
Scraped april 2000: ['13', '17', '18', '31', '32', '39']
Scraped april 2000: ['5', '9', '10', '15', '27', '38']
Scraped april 2000: ['10', '23', '25', '26', '28', '36']
Scraped may 2000: ['11', '12', '17', '18', '27', '39']
Scraped may 2000: ['12', '20', '24', '27', '36', '40']
Scraped may 2000: ['5', '6', '19', '23', '27', '38']
Scraped may 2000: ['5', '9', '24', '28', '34', '40']
Scraped june 2000: ['4', '8', '18', '24', '25', '34']
Scraped june 2000: ['3', '8', '14', '15', '24', '25']
Scraped june 2000: ['9', '10', '12', '26', '27', '38']
Scraped june 2000: ['1', '23', '31', '33', '35', '37']
Scraped july 2000: ['22', '24', '25', '27', '30', '35']
Scraped july 2000: ['3', '5', '11', '25', '35', '38']
Scraped july 2000: ['7', '9', '13', '20', '27', '34']
Scraped july 2000: ['1', '3', '14', '17', '33', '40']
Scraped july 2000: ['2', '19', '28', '30', '31', '33']
Scraped august 2000: ['2', '3', '20', '28', '29', '33']
Scraped august 2000: ['1', '7', '16', '21', '31', '37']
Scraped august 2000: ['3', '13', '18', '27', '36', '40']
Scraped august 2000: ['1', '6', '16', '17', '36', '40']
Scraped september 2000: ['8', '20', '24', '26', '29', '36']
Scraped september 2000: ['5', '6', '8', '27', '37', '38']
Scraped september 2000: ['1', '4', '7', '18', '27', '31']
Scraped september 2000: ['4', '17', '23', '26', '27', '37']
Scraped september 2000: ['2', '3', '11', '17', '22', '23']
Scraped october 2000: ['6', '9', '10', '24', '27', '29']
Scraped october 2000: ['1', '5', '13', '14', '29', '32']
Scraped october 2000: ['6', '13', '25', '29', '35', '38']
Scraped october 2000: ['4', '6', '11', '21', '34', '38']
Scraped november 2000: ['3', '8', '15', '23', '32', '36']
Scraped november 2000: ['2', '3', '15', '27', '29', '38']
Scraped november 2000: ['3', '10', '25', '26', '27', '39']
Scraped november 2000: ['2', '3', '5', '29', '31', '37']
Scraped december 2000: ['1', '12', '30', '32', '36', '40']
Scraped december 2000: ['10', '12', '22', '27', '32', '38']
Scraped december 2000: ['8', '10', '20', '23', '29', '39']
Scraped december 2000: ['7', '12', '13', '16', '17', '31']
Scraped december 2000: ['13', '16', '27', '35', '38', '40']
Scraped january 2001: ['1', '2', '5', '10', '12', '13']
Scraped january 2001: ['4', '6', '9', '29', '37', '38']
Scraped january 2001: ['9', '11', '21', '27', '33', '39']
Scraped january 2001: ['1', '6', '7', '8', '20', '36']
Scraped february 2001: ['8', '23', '25', '30', '33', '39']
Scraped february 2001: ['6', '11', '12', '13', '14', '37']
Scraped february 2001: ['2', '9', '15', '19', '25', '33']
Scraped february 2001: ['4', '7', '14', '16', '27', '39']
Scraped march 2001: ['2', '4', '8', '16', '27', '28']
Scraped march 2001: ['15', '21', '23', '25', '32', '36']
Scraped march 2001: ['3', '4', '7', '12', '13', '34']
Scraped march 2001: ['9', '12', '27', '29', '31', '36']
Scraped march 2001: ['8', '16', '19', '33', '36', '37']
Scraped april 2001: ['2', '3', '8', '13', '19', '20']
Scraped april 2001: ['10', '11', '14', '23', '29', '34']
Scraped april 2001: ['6', '12', '35', '38', '39', '40']
Scraped april 2001: ['13', '18', '23', '29', '35', '39']
Scraped may 2001: ['1', '6', '18', '27', '28', '34']
Scraped may 2001: ['9', '11', '20', '23', '27', '35']
Scraped may 2001: ['3', '12', '18', '21', '33', '35']
Scraped may 2001: ['3', '8', '15', '20', '24', '27']
Scraped june 2001: ['1', '4', '10', '11', '18', '24']
Scraped june 2001: ['9', '12', '19', '21', '23', '27']
Scraped june 2001: ['4', '5', '6', '8', '30', '38']
Scraped june 2001: ['7', '11', '21', '26', '27', '40']
Scraped june 2001: ['2', '3', '15', '22', '31', '36']
Scraped july 2001: ['14', '15', '17', '24', '29', '32']
Scraped july 2001: ['3', '5', '12', '16', '27', '34']
Scraped july 2001: ['2', '13', '15', '17', '36', '40']
Scraped july 2001: ['7', '9', '26', '27', '32', '40']
Scraped august 2001: ['3', '6', '8', '29', '30', '31']
Scraped august 2001: ['2', '3', '9', '19', '26', '39']
Scraped august 2001: ['7', '14', '15', '16', '17', '30']
Scraped august 2001: ['1', '6', '11', '23', '26', '28']
Scraped september 2001: ['4', '7', '17', '24', '30', '31']
Scraped september 2001: ['8', '27', '29', '34', '36', '38']
Scraped september 2001: ['1', '10', '11', '30', '37', '39']
Scraped september 2001: ['18', '19', '23', '31', '35', '36']
Scraped september 2001: ['7', '11', '27', '30', '37', '39']
Scraped october 2001: ['3', '16', '26', '30', '34', '39']
Scraped october 2001: ['3', '9', '20', '23', '34', '39']
Scraped october 2001: ['1', '9', '14', '23', '24', '35']
Scraped october 2001: ['4', '15', '18', '19', '24', '39']
Scraped november 2001: ['3', '5', '6', '9', '20', '27']
Scraped november 2001: ['10', '12', '17', '28', '35', '37']
Scraped november 2001: ['2', '7', '8', '26', '30', '32']
Scraped november 2001: ['2', '3', '13', '25', '31', '38']
Scraped december 2001: ['3', '6', '22', '30', '36', '39']
Scraped december 2001: ['5', '8', '9', '23', '29', '32']
Scraped december 2001: ['2', '7', '13', '19', '20', '36']
Scraped december 2001: ['13', '28', '36', '37', '38', '40']
Scraped december 2001: ['2', '7', '17', '18', '19', '39']
Scraped january 2002: ['2', '4', '16', '23', '29', '37']
Scraped january 2002: ['2', '10', '19', '21', '31', '36']
Scraped january 2002: ['4', '8', '18', '23', '24', '33']
Scraped january 2002: ['2', '13', '20', '23', '31', '35']
Scraped february 2002: ['7', '11', '12', '26', '34', '35']
Scraped february 2002: ['20', '25', '26', '27', '29', '37']
Scraped february 2002: ['2', '5', '21', '28', '39', '40']
Scraped february 2002: ['11', '13', '14', '15', '35', '37']
Scraped march 2002: ['5', '10', '12', '20', '23', '40']
Scraped march 2002: ['4', '7', '9', '13', '15', '28']
Scraped march 2002: ['3', '14', '15', '25', '28', '40']
Scraped march 2002: ['1', '5', '14', '15', '21', '31']
Scraped march 2002: ['3', '16', '18', '20', '29', '40']
